"Label (Grouping)","Washington!!Estimate","Washington!!Percent","Adams County, Washington!!Estimate","Adams County, Washington!!Percent","Asotin County, Washington!!Estimate","Asotin County, Washington!!Percent","Benton County, Washington!!Estimate","Benton County, Washington!!Percent","Chelan County, Washington!!Estimate","Chelan County, Washington!!Percent","Clallam County, Washington!!Estimate","Clallam County, Washington!!Percent","Clark County, Washington!!Estimate","Clark County, Washington!!Percent","Columbia County, Washington!!Estimate","Columbia County, Washington!!Percent","Cowlitz County, Washington!!Estimate","Cowlitz County, Washington!!Percent","Douglas County, Washington!!Estimate","Douglas County, Washington!!Percent","Ferry County, Washington!!Estimate","Ferry County, Washington!!Percent","Franklin County, Washington!!Estimate","Franklin County, Washington!!Percent","Garfield County, Washington!!Estimate","Garfield County, Washington!!Percent","Grant County, Washington!!Estimate","Grant County, Washington!!Percent","Grays Harbor County, Washington!!Estimate","Grays Harbor County, Washington!!Percent","Island County, Washington!!Estimate","Island County, Washington!!Percent","Jefferson County, Washington!!Estimate","Jefferson County, Washington!!Percent","King County, Washington!!Estimate","King County, Washington!!Percent","Kitsap County, Washington!!Estimate","Kitsap County, Washington!!Percent","Kittitas County, Washington!!Estimate","Kittitas County, Washington!!Percent","Klickitat County, Washington!!Estimate","Klickitat County, Washington!!Percent","Lewis County, Washington!!Estimate","Lewis County, Washington!!Percent","Lincoln County, Washington!!Estimate","Lincoln County, Washington!!Percent","Mason County, Washington!!Estimate","Mason County, Washington!!Percent","Okanogan County, Washington!!Estimate","Okanogan County, Washington!!Percent","Pacific County, Washington!!Estimate","Pacific County, Washington!!Percent","Pend Oreille County, Washington!!Estimate","Pend Oreille County, Washington!!Percent","Pierce County, Washington!!Estimate","Pierce County, Washington!!Percent","San Juan County, Washington!!Estimate","San Juan County, Washington!!Percent","Skagit County, Washington!!Estimate","Skagit County, Washington!!Percent","Skamania County, Washington!!Estimate","Skamania County, Washington!!Percent","Snohomish County, Washington!!Estimate","Snohomish County, Washington!!Percent","Spokane County, Washington!!Estimate","Spokane County, Washington!!Percent","Stevens County, Washington!!Estimate","Stevens County, Washington!!Percent","Thurston County, Washington!!Estimate","Thurston County, Washington!!Percent","Wahkiakum County, Washington!!Estimate","Wahkiakum County, Washington!!Percent","Walla Walla County, Washington!!Estimate","Walla Walla County, Washington!!Percent","Whatcom County, Washington!!Estimate","Whatcom County, Washington!!Percent","Whitman County, Washington!!Estimate","Whitman County, Washington!!Percent","Yakima County, Washington!!Estimate","Yakima County, Washington!!Percent"
"    Foreign-born population, excluding population born at sea","1,143,428","1,143,428","4,704","4,704","716","716","23,999","23,999","11,069","11,069","3,878","3,878","54,316","54,316","143","143","4,574","4,574","6,654","6,654","166","166","21,452","21,452","32","32","16,323","16,323","3,591","3,591","6,507","6,507","1,497","1,497","553,339","553,339","18,742","18,742","1,501","1,501","2,304","2,304","4,138","4,138","226","226","4,230","4,230","5,177","5,177","1,673","1,673","227","227","96,238","96,238","1,372","1,372","12,194","12,194","472","472","146,969","146,969","28,055","28,055","1,011","1,011","24,662","24,662","197","197","6,217","6,217","22,379","22,379","4,465","4,465","48,019","48,019"
"        Europe","163,473","14.3%","53","1.1%","47","6.6%","2,566","10.7%","475","4.3%","905","23.3%","16,383","30.2%","6","4.2%","615","13.4%","202","3.0%","56","33.7%","1,409","6.6%","0","0.0%","984","6.0%","358","10.0%","1,419","21.8%","500","33.4%","72,790","13.2%","3,162","16.9%","187","12.5%","459","19.9%","704","17.0%","43","19.0%","528","12.5%","207","4.0%","245","14.6%","58","25.6%","17,306","18.0%","478","34.8%","1,617","13.3%","107","22.7%","22,373","15.2%","7,834","27.9%","362","35.8%","3,797","15.4%","63","32.0%","757","12.2%","3,233","14.4%","639","14.3%","546","1.1%"
"        Asia","510,929","44.7%","63","1.3%","279","39.0%","5,289","22.0%","509","4.6%","1,019","26.3%","16,930","31.2%","11","7.7%","957","20.9%","234","3.5%","33","19.9%","1,113","5.2%","32","100.0%","675","4.1%","783","21.8%","3,140","48.3%","434","29.0%","315,641","57.0%","9,475","50.6%","324","21.6%","149","6.5%","716","17.3%","108","47.8%","590","13.9%","211","4.1%","307","18.4%","105","46.3%","40,018","41.6%","195","14.2%","1,935","15.9%","51","10.8%","74,109","50.4%","10,660","38.0%","216","21.4%","11,455","46.4%","59","29.9%","722","11.6%","7,727","34.5%","2,723","61.0%","1,932","4.0%"
"        Africa","73,519","6.4%","5","0.1%","29","4.1%","940","3.9%","28","0.3%","87","2.2%","1,691","3.1%","0","0.0%","79","1.7%","27","0.4%","5","3.0%","261","1.2%","0","0.0%","49","0.3%","63","1.8%","163","2.5%","7","0.5%","46,185","8.3%","486","2.6%","96","6.4%","39","1.7%","45","1.1%","0","0.0%","210","5.0%","32","0.6%","0","0.0%","15","6.6%","6,671","6.9%","32","2.3%","142","1.2%","0","0.0%","12,069","8.2%","1,812","6.5%","22","2.2%","647","2.6%","14","7.1%","377","6.1%","504","2.3%","321","7.2%","366","0.8%"
"        Oceania","23,885","2.1%","87","1.8%","0","0.0%","105","0.4%","28","0.3%","71","1.8%","2,410","4.4%","0","0.0%","67","1.5%","48","0.7%","0","0.0%","34","0.2%","0","0.0%","0","0.0%","24","0.7%","246","3.8%","76","5.1%","10,271","1.9%","593","3.2%","98","6.5%","12","0.5%","52","1.3%","15","6.6%","114","2.7%","9","0.2%","23","1.4%","0","0.0%","4,329","4.5%","110","8.0%","97","0.8%","15","3.2%","1,824","1.2%","1,552","5.5%","6","0.6%","812","3.3%","0","0.0%","140","2.3%","280","1.3%","18","0.4%","319","0.7%"
"        Latin America","324,167","28.4%","4,445","94.5%","307","42.9%","14,456","60.2%","9,498","85.8%","1,221","31.5%","15,179","27.9%","126","88.1%","2,453","53.6%","6,001","90.2%","23","13.9%","18,482","86.2%","0","0.0%","14,376","88.1%","2,137","59.5%","933","14.3%","273","18.2%","88,279","16.0%","4,198","22.4%","648","43.2%","1,571","68.2%","2,219","53.6%","53","23.5%","2,488","58.8%","4,436","85.7%","985","58.9%","29","12.8%","24,481","25.4%","371","27.0%","7,467","61.2%","230","48.7%","31,582","21.5%","3,942","14.1%","195","19.3%","6,878","27.9%","57","28.9%","3,836","61.7%","5,443","24.3%","596","13.3%","44,273","92.2%"
"        Northern America","47,455","4.2%","51","1.1%","54","7.5%","643","2.7%","531","4.8%","575","14.8%","1,723","3.2%","0","0.0%","403","8.8%","142","2.1%","49","29.5%","153","0.7%","0","0.0%","239","1.5%","226","6.3%","606","9.3%","207","13.8%","20,173","3.6%","828","4.4%","148","9.9%","74","3.2%","402","9.7%","7","3.1%","300","7.1%","282","5.4%","113","6.8%","20","8.8%","3,433","3.6%","186","13.6%","936","7.7%","69","14.6%","5,012","3.4%","2,255","8.0%","210","20.8%","1,073","4.4%","4","2.0%","385","6.2%","5,192","23.2%","168","3.8%","583","1.2%"
"LANGUAGE SPOKEN AT HOME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 5 years and over","7,248,377","7,248,377","18,736","18,736","21,132","21,132","193,899","193,899","74,566","74,566","74,145","74,145","475,148","475,148","3,810","3,810","104,084","104,084","40,466","40,466","6,929","6,929","88,543","88,543","2,201","2,201","91,865","91,865","72,028","72,028","82,050","82,050","32,137","32,137","2,132,657","2,132,657","260,594","260,594","42,523","42,523","21,745","21,745","77,942","77,942","10,455","10,455","62,746","62,746","39,922","39,922","22,587","22,587","12,975","12,975","861,540","861,540","17,498","17,498","122,327","122,327","11,613","11,613","777,924","777,924","508,098","508,098","44,444","44,444","278,072","278,072","4,327","4,327","59,059","59,059","215,548","215,548","45,192","45,192","236,850","236,850"
"        English only","5,758,942","79.5%","9,157","48.9%","20,205","95.6%","152,398","78.6%","55,083","73.9%","69,892","94.3%","400,716","84.3%","3,559","93.4%","96,099","92.3%","28,933","71.5%","6,676","96.3%","45,038","50.9%","2,119","96.3%","59,251","64.5%","65,588","91.1%","74,410","90.7%","30,276","94.2%","1,506,499","70.6%","238,678","91.6%","39,757","93.5%","19,009","87.4%","71,557","91.8%","10,112","96.7%","57,262","91.3%","32,347","81.0%","20,349","90.1%","12,743","98.2%","726,536","84.3%","16,345","93.4%","101,938","83.3%","11,073","95.4%","600,199","77.2%","471,335","92.8%","42,741","96.2%","244,689","88.0%","4,095","94.6%","47,551","80.5%","189,245","87.8%","39,434","87.3%","136,048","57.4%"
"        Language other than English","1,489,435","20.5%","9,579","51.1%","927","4.4%","41,501","21.4%","19,483","26.1%","4,253","5.7%","74,432","15.7%","251","6.6%","7,985","7.7%","11,533","28.5%","253","3.7%","43,505","49.1%","82","3.7%","32,614","35.5%","6,440","8.9%","7,640","9.3%","1,861","5.8%","626,158","29.4%","21,916","8.4%","2,766","6.5%","2,736","12.6%","6,385","8.2%","343","3.3%","5,484","8.7%","7,575","19.0%","2,238","9.9%","232","1.8%","135,004","15.7%","1,153","6.6%","20,389","16.7%","540","4.6%","177,725","22.8%","36,763","7.2%","1,703","3.8%","33,383","12.0%","232","5.4%","11,508","19.5%","26,303","12.2%","5,758","12.7%","100,802","42.6%"
"            Speak English less than ""very well""","557,409","7.7%","4,631","24.7%","271","1.3%","15,888","8.2%","7,891","10.6%","1,361","1.8%","28,821","6.1%","199","5.2%","3,000","2.9%","5,150","12.7%","69","1.0%","20,462","23.1%","16","0.7%","13,498","14.7%","2,785","3.9%","2,556","3.1%","396","1.2%","227,362","10.7%","6,659","2.6%","520","1.2%","1,064","4.9%","2,150","2.8%","105","1.0%","2,782","4.4%","3,198","8.0%","960","4.3%","26","0.2%","50,204","5.8%","347","2.0%","7,367","6.0%","111","1.0%","68,145","8.8%","13,030","2.6%","637","1.4%","11,454","4.1%","7","0.2%","4,714","8.0%","7,950","3.7%","1,849","4.1%","39,774","16.8%"
"        Spanish","629,881","8.7%","9,170","48.9%","531","2.5%","31,660","16.3%","17,944","24.1%","2,311","3.1%","29,711","6.3%","214","5.6%","5,533","5.3%","10,990","27.2%","67","1.0%","39,881","45.0%","64","2.9%","30,457","33.2%","4,728","6.6%","3,008","3.7%","760","2.4%","140,437","6.6%","8,208","3.1%","1,949","4.6%","2,317","10.7%","5,024","6.4%","132","1.3%","4,123","6.6%","6,938","17.4%","1,593","7.1%","102","0.8%","53,882","6.3%","600","3.4%","16,431","13.4%","408","3.5%","54,383","7.0%","11,748","2.3%","701","1.6%","12,934","4.7%","177","4.1%","9,456","16.0%","13,318","6.2%","1,538","3.4%","96,453","40.7%"
"            Speak English less than ""very well""","244,701","3.4%","4,408","23.5%","151","0.7%","12,718","6.6%","7,519","10.1%","857","1.2%","11,537","2.4%","168","4.4%","2,171","2.1%","4,946","12.2%","21","0.3%","18,713","21.1%","16","0.7%","12,714","13.8%","2,151","3.0%","912","1.1%","147","0.5%","54,421","2.6%","2,647","1.0%","330","0.8%","1,028","4.7%","1,738","2.2%","9","0.1%","2,238","3.6%","3,030","7.6%","740","3.3%","14","0.1%","17,222","2.0%","222","1.3%","5,996","4.9%","98","0.8%","21,223","2.7%","3,386","0.7%","188","0.4%","3,787","1.4%","0","0.0%","4,194","7.1%","4,281","2.0%","322","0.7%","38,438","16.2%"
"        Other Indo-European languages","303,592","4.2%","153","0.8%","97","0.5%","4,497","2.3%","984","1.3%","1,035","1.4%","26,058","5.5%","6","0.2%","1,236","1.2%","286","0.7%","68","1.0%","2,278","2.6%","18","0.8%","1,637","1.8%","685","1.0%","1,499","1.8%","651","2.0%","155,633","7.3%","3,373","1.3%","336","0.8%","258","1.2%","741","1.0%","98","0.9%","467","0.7%","249","0.6%","352","1.6%","40","0.3%","25,086","2.9%","353","2.0%","1,886","1.5%","76","0.7%","43,099","5.5%","12,598","2.5%","670","1.5%","6,490","2.3%","30","0.7%","1,193","2.0%","6,533","3.0%","1,553","3.4%","1,290","0.5%"
"            Speak English less than ""very well""","84,242","1.2%","56","0.3%","25","0.1%","994","0.5%","143","0.2%","143","0.2%","9,466","2.0%","6","0.2%","214","0.2%","54","0.1%","19","0.3%","1,033","1.2%","0","0.0%","530","0.6%","115","0.2%","366","0.4%","101","0.3%","39,117","1.8%","391","0.2%","115","0.3%","17","0.1%","164","0.2%","34","0.3%","135","0.2%","45","0.1%","78","0.3%","12","0.1%","8,790","1.0%","62","0.4%","563","0.5%","0","0.0%","13,161","1.7%","4,164","0.8%","315","0.7%","1,096","0.4%","0","0.0%","253","0.4%","1,816","0.8%","363","0.8%","286","0.1%"
"        Asian and Pacific Islander languages","453,878","6.3%","90","0.5%","270","1.3%","3,667","1.9%","520","0.7%","613","0.8%","16,012","3.4%","31","0.8%","1,092","1.0%","242","0.6%","54","0.8%","1,009","1.1%","0","0.0%","463","0.5%","755","1.0%","2,915","3.6%","353","1.1%","269,213","12.6%","9,186","3.5%","390","0.9%","67","0.3%","594","0.8%","109","1.0%","630","1.0%","143","0.4%","293","1.3%","42","0.3%","48,200","5.6%","157","0.9%","1,653","1.4%","56","0.5%","63,412","8.2%","8,493","1.7%","186","0.4%","12,849","4.6%","21","0.5%","682","1.2%","5,114","2.4%","2,194","4.9%","2,108","0.9%"
"            Speak English less than ""very well""","194,249","2.7%","11","0.1%","88","0.4%","1,521","0.8%","229","0.3%","308","0.4%","7,271","1.5%","25","0.7%","550","0.5%","150","0.4%","13","0.2%","531","0.6%","0","0.0%","228","0.2%","429","0.6%","1,260","1.5%","130","0.4%","112,302","5.3%","3,238","1.2%","75","0.2%","9","0.0%","242","0.3%","62","0.6%","260","0.4%","92","0.2%","142","0.6%","0","0.0%","21,699","2.5%","63","0.4%","638","0.5%","13","0.1%","28,585","3.7%","3,878","0.8%","134","0.3%","6,149","2.2%","7","0.2%","263","0.4%","1,709","0.8%","1,054","2.3%","891","0.4%"
"        Other languages","102,084","1.4%","166","0.9%","29","0.1%","1,677","0.9%","35","0.0%","294","0.4%","2,651","0.6%","0","0.0%","124","0.1%","15","0.0%","64","0.9%","337","0.4%","0","0.0%","57","0.1%","272","0.4%","218","0.3%","97","0.3%","60,875","2.9%","1,149","0.4%","91","0.2%","94","0.4%","26","0.0%","4","0.0%","264","0.4%","245","0.6%","0","0.0%","48","0.4%","7,836","0.9%","43","0.2%","419","0.3%","0","0.0%","16,831","2.2%","3,924","0.8%","146","0.3%","1,110","0.4%","4","0.1%","177","0.3%","1,338","0.6%","473","1.0%","951","0.4%"
"            Speak English less than ""very well""","34,217","0.5%","156","0.8%","7","0.0%","655","0.3%","0","0.0%","53","0.1%","547","0.1%","0","0.0%","65","0.1%","0","0.0%","16","0.2%","185","0.2%","0","0.0%","26","0.0%","90","0.1%","18","0.0%","18","0.1%","21,522","1.0%","383","0.1%","0","0.0%","10","0.0%","6","0.0%","0","0.0%","149","0.2%","31","0.1%","0","0.0%","0","0.0%","2,493","0.3%","0","0.0%","170","0.1%","0","0.0%","5,176","0.7%","1,602","0.3%","0","0.0%","422","0.2%","0","0.0%","4","0.0%","144","0.1%","110","0.2%","159","0.1%"
"ANCESTRY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","7,688,549","7,688,549","20,557","20,557","22,370","22,370","207,560","207,560","79,076","79,076","77,333","77,333","504,091","504,091","3,980","3,980","110,621","110,621","43,189","43,189","7,260","7,260","96,692","96,692","2,310","2,310","99,145","99,145","75,672","75,672","86,510","86,510","33,006","33,006","2,254,371","2,254,371","275,411","275,411","44,424","44,424","22,798","22,798","82,663","82,663","11,036","11,036","66,053","66,053","42,336","42,336","23,396","23,396","13,570","13,570","918,993","918,993","18,001","18,001","129,480","129,480","12,118","12,118","828,337","828,337","538,711","538,711","46,774","46,774","294,272","294,272","4,476","4,476","62,150","62,150","226,523","226,523","47,141","47,141","256,143","256,143"
"        American","285,061","3.7%","409","2.0%","1,291","5.8%","9,252","4.5%","4,521","5.7%","3,564","4.6%","21,510","4.3%","258","6.5%","5,205","4.7%","1,457","3.4%","172","2.4%","2,315","2.4%","136","5.9%","4,406","4.4%","2,716","3.6%","3,326","3.8%","1,377","4.2%","57,673","2.6%","11,099","4.0%","1,365","3.1%","1,722","7.6%","6,161","7.5%","3,100","28.1%","2,629","4.0%","3,601","8.5%","735","3.1%","472","3.5%","34,027","3.7%","434","2.4%","5,312","4.1%","1,187","9.8%","25,317","3.1%","30,919","5.7%","5,196","11.1%","11,989","4.1%","313","7.0%","3,436","5.5%","6,478","2.9%","1,790","3.8%","8,191","3.2%"
"        Arab","39,659","0.5%","42","0.2%","0","0.0%","1,385","0.7%","121","0.2%","190","0.2%","1,976","0.4%","0","0.0%","124","0.1%","28","0.1%","20","0.3%","103","0.1%","9","0.4%","30","0.0%","67","0.1%","128","0.1%","91","0.3%","18,589","0.8%","734","0.3%","78","0.2%","64","0.3%","99","0.1%","9","0.1%","34","0.1%","75","0.2%","4","0.0%","0","0.0%","3,057","0.3%","78","0.4%","311","0.2%","3","0.0%","5,958","0.7%","3,084","0.6%","45","0.1%","1,523","0.5%","0","0.0%","84","0.1%","972","0.4%","213","0.5%","331","0.1%"
"        Czech","27,570","0.4%","22","0.1%","11","0.0%","737","0.4%","350","0.4%","215","0.3%","1,903","0.4%","0","0.0%","197","0.2%","232","0.5%","8","0.1%","240","0.2%","39","1.7%","178","0.2%","67","0.1%","276","0.3%","285","0.9%","9,592","0.4%","1,144","0.4%","251","0.6%","201","0.9%","168","0.2%","37","0.3%","187","0.3%","31","0.1%","51","0.2%","171","1.3%","3,179","0.3%","143","0.8%","387","0.3%","20","0.2%","2,428","0.3%","2,554","0.5%","95","0.2%","839","0.3%","10","0.2%","68","0.1%","620","0.3%","272","0.6%","362","0.1%"
"        Danish","61,497","0.8%","40","0.2%","153","0.7%","2,112","1.0%","473","0.6%","516","0.7%","3,958","0.8%","59","1.5%","914","0.8%","308","0.7%","47","0.6%","315","0.3%","6","0.3%","961","1.0%","511","0.7%","979","1.1%","498","1.5%","17,567","0.8%","2,572","0.9%","511","1.2%","254","1.1%","535","0.6%","117","1.1%","408","0.6%","195","0.5%","147","0.6%","194","1.4%","7,015","0.8%","215","1.2%","1,277","1.0%","67","0.6%","7,689","0.9%","4,699","0.9%","340","0.7%","2,192","0.7%","11","0.2%","820","1.3%","1,708","0.8%","365","0.8%","749","0.3%"
"        Dutch","123,131","1.6%","141","0.7%","301","1.3%","4,675","2.3%","1,343","1.7%","1,623","2.1%","8,833","1.8%","123","3.1%","2,531","2.3%","689","1.6%","79","1.1%","633","0.7%","39","1.7%","1,214","1.2%","1,020","1.3%","2,007","2.3%","663","2.0%","26,708","1.2%","4,640","1.7%","821","1.8%","574","2.5%","1,605","1.9%","169","1.5%","1,242","1.9%","519","1.2%","289","1.2%","389","2.9%","10,871","1.2%","354","2.0%","3,497","2.7%","158","1.3%","12,734","1.5%","9,034","1.7%","879","1.9%","5,536","1.9%","58","1.3%","938","1.5%","11,945","5.3%","795","1.7%","3,462","1.4%"
"        English","868,037","11.3%","1,109","5.4%","3,028","13.5%","29,694","14.3%","8,555","10.8%","12,220","15.8%","62,773","12.5%","602","15.1%","14,287","12.9%","4,720","10.9%","888","12.2%","6,470","6.7%","322","13.9%","8,992","9.1%","8,706","11.5%","11,855","13.7%","5,684","17.2%","232,831","10.3%","37,879","13.8%","5,612","12.6%","2,895","12.7%","11,110","13.4%","1,129","10.2%","8,153","12.3%","3,929","9.3%","2,891","12.4%","2,082","15.3%","95,258","10.4%","3,094","17.2%","16,667","12.9%","1,780","14.7%","93,377","11.3%","70,866","13.2%","5,759","12.3%","35,417","12.0%","709","15.8%","7,759","12.5%","27,604","12.2%","5,249","11.1%","16,082","6.3%"
"        French (except Basque)","197,049","2.6%","195","0.9%","552","2.5%","4,937","2.4%","1,843","2.3%","2,477","3.2%","13,909","2.8%","107","2.7%","3,332","3.0%","1,368","3.2%","397","5.5%","1,740","1.8%","42","1.8%","1,683","1.7%","1,341","1.8%","2,812","3.3%","1,426","4.3%","54,403","2.4%","7,967","2.9%","1,203","2.7%","719","3.2%","2,383","2.9%","138","1.3%","1,714","2.6%","600","1.4%","512","2.2%","296","2.2%","22,876","2.5%","660","3.7%","3,217","2.5%","334","2.8%","22,164","2.7%","16,246","3.0%","1,112","2.4%","8,516","2.9%","180","4.0%","1,846","3.0%","5,961","2.6%","1,056","2.2%","4,785","1.9%"
"        French Canadian","44,181","0.6%","43","0.2%","187","0.8%","956","0.5%","355","0.4%","557","0.7%","4,012","0.8%","18","0.5%","842","0.8%","188","0.4%","49","0.7%","628","0.6%","0","0.0%","377","0.4%","581","0.8%","756","0.9%","125","0.4%","10,658","0.5%","2,345","0.9%","357","0.8%","146","0.6%","335","0.4%","35","0.3%","528","0.8%","300","0.7%","187","0.8%","89","0.7%","5,380","0.6%","69","0.4%","817","0.6%","55","0.5%","3,931","0.5%","3,730","0.7%","370","0.8%","1,582","0.5%","22","0.5%","290","0.5%","1,588","0.7%","404","0.9%","1,289","0.5%"
"        German","1,152,811","15.0%","1,844","9.0%","4,517","20.2%","35,195","17.0%","13,510","17.1%","13,774","17.8%","83,546","16.6%","756","19.0%","20,085","18.2%","6,734","15.6%","1,287","17.7%","9,864","10.2%","425","18.4%","12,694","12.8%","11,393","15.1%","15,255","17.6%","5,968","18.1%","279,775","12.4%","48,556","17.6%","7,802","17.6%","5,141","22.6%","15,399","18.6%","2,263","20.5%","11,439","17.3%","6,613","15.6%","4,167","17.8%","2,904","21.4%","138,013","15.0%","3,123","17.3%","18,888","14.6%","2,242","18.5%","120,691","14.6%","107,775","20.0%","9,567","20.5%","49,559","16.8%","532","11.9%","11,199","18.0%","35,318","15.6%","9,982","21.2%","25,016","9.8%"
"        Greek","24,978","0.3%","0","0.0%","7","0.0%","172","0.1%","190","0.2%","96","0.1%","1,987","0.4%","0","0.0%","93","0.1%","55","0.1%","19","0.3%","48","0.0%","0","0.0%","193","0.2%","154","0.2%","389","0.4%","152","0.5%","9,496","0.4%","801","0.3%","50","0.1%","64","0.3%","183","0.2%","21","0.2%","98","0.1%","99","0.2%","139","0.6%","0","0.0%","2,699","0.3%","52","0.3%","291","0.2%","3","0.0%","2,685","0.3%","2,211","0.4%","120","0.3%","969","0.3%","10","0.2%","177","0.3%","502","0.2%","179","0.4%","574","0.2%"
"        Hungarian","20,483","0.3%","0","0.0%","48","0.2%","981","0.5%","116","0.1%","228","0.3%","1,387","0.3%","14","0.4%","274","0.2%","120","0.3%","0","0.0%","23","0.0%","0","0.0%","93","0.1%","162","0.2%","215","0.2%","144","0.4%","7,526","0.3%","715","0.3%","52","0.1%","83","0.4%","162","0.2%","5","0.0%","162","0.2%","60","0.1%","71","0.3%","16","0.1%","1,564","0.2%","68","0.4%","354","0.3%","17","0.1%","1,968","0.2%","1,333","0.2%","90","0.2%","695","0.2%","0","0.0%","137","0.2%","1,016","0.4%","178","0.4%","406","0.2%"
"        Irish","761,455","9.9%","826","4.0%","2,732","12.2%","21,266","10.2%","6,639","8.4%","9,106","11.8%","51,587","10.2%","449","11.3%","14,248","12.9%","4,019","9.3%","1,016","14.0%","5,229","5.4%","340","14.7%","6,079","6.1%","9,328","12.3%","10,015","11.6%","5,205","15.8%","195,660","8.7%","35,327","12.8%","5,075","11.4%","2,749","12.1%","9,969","12.1%","958","8.7%","7,717","11.7%","4,473","10.6%","2,522","10.8%","1,296","9.6%","93,232","10.1%","2,312","12.8%","13,276","10.3%","1,514","12.5%","78,051","9.4%","70,356","13.1%","5,389","11.5%","36,138","12.3%","415","9.3%","6,489","10.4%","21,633","9.6%","5,182","11.0%","13,638","5.3%"
"        Italian","250,568","3.3%","291","1.4%","685","3.1%","5,344","2.6%","1,599","2.0%","2,268","2.9%","16,018","3.2%","72","1.8%","2,968","2.7%","934","2.2%","120","1.7%","1,661","1.7%","67","2.9%","1,236","1.2%","1,556","2.1%","2,360","2.7%","1,402","4.2%","79,132","3.5%","10,557","3.8%","1,466","3.3%","542","2.4%","1,887","2.3%","245","2.2%","2,166","3.3%","1,291","3.0%","433","1.9%","346","2.5%","33,085","3.6%","691","3.8%","4,118","3.2%","310","2.6%","25,494","3.1%","24,298","4.5%","1,166","2.5%","9,675","3.3%","120","2.7%","1,948","3.1%","7,600","3.4%","1,798","3.8%","3,619","1.4%"
"        Lithuanian","12,543","0.2%","10","0.0%","0","0.0%","9","0.0%","135","0.2%","48","0.1%","746","0.1%","6","0.2%","103","0.1%","38","0.1%","23","0.3%","43","0.0%","5","0.2%","3","0.0%","61","0.1%","83","0.1%","220","0.7%","5,127","0.2%","377","0.1%","19","0.0%","0","0.0%","86","0.1%","5","0.0%","24","0.0%","0","0.0%","131","0.6%","7","0.1%","1,075","0.1%","97","0.5%","124","0.1%","21","0.2%","1,466","0.2%","953","0.2%","27","0.1%","440","0.1%","0","0.0%","65","0.1%","836","0.4%","60","0.1%","70","0.0%"
"        Norwegian","332,142","4.3%","359","1.7%","707","3.2%","7,364","3.5%","3,451","4.4%","4,011","5.2%","21,516","4.3%","100","2.5%","5,428","4.9%","1,665","3.9%","414","5.7%","1,573","1.6%","78","3.4%","3,059","3.1%","4,144","5.5%","4,607","5.3%","1,560","4.7%","84,023","3.7%","14,361","5.2%","2,195","4.9%","959","4.2%","3,724","4.5%","358","3.2%","3,971","6.0%","1,750","4.1%","1,377","5.9%","546","4.0%","40,205","4.4%","905","5.0%","8,765","6.8%","668","5.5%","47,710","5.8%","24,516","4.6%","2,545","5.4%","11,912","4.0%","259","5.8%","2,189","3.5%","12,141","5.4%","2,255","4.8%","4,772","1.9%"
"        Polish","123,253","1.6%","77","0.4%","83","0.4%","2,474","1.2%","1,088","1.4%","1,363","1.8%","6,802","1.3%","88","2.2%","1,347","1.2%","361","0.8%","209","2.9%","391","0.4%","15","0.6%","468","0.5%","1,674","2.2%","1,971","2.3%","999","3.0%","43,938","1.9%","4,523","1.6%","661","1.5%","353","1.5%","1,310","1.6%","99","0.9%","1,091","1.7%","267","0.6%","498","2.1%","176","1.3%","14,595","1.6%","343","1.9%","1,588","1.2%","189","1.6%","12,334","1.5%","8,579","1.6%","658","1.4%","5,698","1.9%","56","1.3%","591","1.0%","4,482","2.0%","630","1.3%","1,184","0.5%"
"        Portuguese","27,049","0.4%","95","0.5%","33","0.1%","386","0.2%","198","0.3%","340","0.4%","2,321","0.5%","0","0.0%","325","0.3%","88","0.2%","93","1.3%","166","0.2%","0","0.0%","64","0.1%","217","0.3%","608","0.7%","211","0.6%","8,175","0.4%","1,349","0.5%","113","0.3%","152","0.7%","201","0.2%","0","0.0%","335","0.5%","83","0.2%","196","0.8%","104","0.8%","3,957","0.4%","56","0.3%","264","0.2%","2","0.0%","2,516","0.3%","1,973","0.4%","133","0.3%","770","0.3%","7","0.2%","215","0.3%","910","0.4%","139","0.3%","254","0.1%"
"        Russian","81,632","1.1%","97","0.5%","26","0.1%","1,412","0.7%","402","0.5%","549","0.7%","8,324","1.7%","6","0.2%","442","0.4%","136","0.3%","2","0.0%","392","0.4%","0","0.0%","513","0.5%","599","0.8%","320","0.4%","530","1.6%","31,646","1.4%","2,070","0.8%","135","0.3%","59","0.3%","534","0.6%","75","0.7%","313","0.5%","118","0.3%","326","1.4%","55","0.4%","6,930","0.8%","143","0.8%","1,240","1.0%","65","0.5%","10,764","1.3%","6,208","1.2%","509","1.1%","1,639","0.6%","27","0.6%","707","1.1%","2,860","1.3%","422","0.9%","1,037","0.4%"
